stock,stock_name,year,generated_at,q1_A,q1_S,q1_G,q1_I,q1_M,q1_F,q1_X,q1_D,q2_A,q2_S,q2_G,q2_I,q2_M,q2_F,q2_X,q2_D,q3_A,q3_S,q3_G,q3_I,q3_M,q3_F,q3_X,q3_D,q4_A,q4_S,q4_G,q4_I,q4_M,q4_F,q4_X,q4_D
GOOGL,Alphabet Inc.,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/GOOGL_2026_q2.m4a),,,,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/GOOGL/GOOGL_2026_q2_digest.md),,,,,,,,,,,,,,,,
AMD,AMD 超微,2026,2026-09-25T03:32:28.074244+00:00,,,,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2026_q1_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2026_q1_ir_en.md),,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/AMD_2026_q2.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2026_q2_FIN.srt),,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2026_q2_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2026_q2_ir_en.md),,,,,,,,,,,,,,,,,,,
AMD,AMD 超微,2025,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2025_q4_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AMD/AMD_2025_q4_ir_en.md),,,
AAPL,Apple 蘋果,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/AAPL_2026_q3.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AAPL/AAPL_2026_q3_FIN.srt),,,,,,,,,,,,,,
AVGO,Broadcom Inc. 博通,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/AVGO_2026_q3.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AVGO/AVGO_2026_q3_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/AVGO/AVGO_2026_q3_GT.srt),,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/AVGO/AVGO_2026_q3_digest.md),,,,,,,,
DELL,Dell Technologies 戴爾科技,2027,2026-09-25T03:32:28.074244+00:00,,,,,,,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/DELL_2027_q2.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/DELL/DELL_2027_q2_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/DELL/DELL_2027_q2_GT.srt),,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/DELL/DELL_2027_q2_digest.md),,,,,,,,,,,,,,,,
DELL,Dell Technologies 戴爾科技,2026,2026-09-25T03:32:28.074244+00:00,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/DELL_2026_q1.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/DELL/DELL_2026_q1_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/DELL/DELL_2026_q1_GT.srt),,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/DELL/DELL_2026_q1_digest.md),,,,,,,,,,,,,,,,,,,,,,,,
GFS,GlobalFoundries Inc.,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,[I](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/GFS/GFS_2026_q2_ir_en.pdf),[M](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/GFS/GFS_2026_q2_ir_en.md),,,,,,,,,,,,,,,,,,,
HPE,Hewlett Packard Enterprise Co. 慧與科技,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,[A](https://github.com/wenchiehlee-money/InvestorConference/releases/download/audio-files/HPE_2026_q3.m4a),[S](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/HPE/HPE_2026_q3_FIN.srt),[G](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/HPE/HPE_2026_q3_GT.srt),,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/HPE/HPE_2026_q3_digest.md),,,,,,,,
HPQ,HP Inc.,2026,2026-09-25T03:32:28.074244+00:00,,,,,,,,,,,,,,,,,,,,,,,,[D](https://github.com/wenchiehlee-money/InvestorConference/blob/main/data/reports/conference-digests/HPQ/HPQ_2026_q3_digest.md),,,,,,,,
